STATE/UT,Year,Rape,Kidnapping_Abduction,Dowry_Deaths,Domestic_Cruelty,Importation_of_Girls
ANDHRA PRADESH,2001,50,30,16,175,0
ANDHRA PRADESH,2001,23,30,7,154,0
ANDHRA PRADESH,2001,27,34,14,186,0
ANDHRA PRADESH,2001,20,20,17,57,0
ANDHRA PRADESH,2001,23,26,12,247,0
ANDHRA PRADESH,2001,0,0,0,0,0
ANDHRA PRADESH,2001,54,51,7,378,0
ANDHRA PRADESH,2001,37,39,24,746,0
ANDHRA PRADESH,2001,56,49,62,224,0
ANDHRA PRADESH,2001,47,30,17,172,0
ANDHRA PRADESH,2001,37,21,10,265,0
ANDHRA PRADESH,2001,29,47,13,92,0
ANDHRA PRADESH,2001,59,27,14,69,0
ANDHRA PRADESH,2001,35,20,26,192,0
ANDHRA PRADESH,2001,35,19,31,214,0
ANDHRA PRADESH,2001,46,80,10,287,0
ANDHRA PRADESH,2001,21,21,19,228,0
ANDHRA PRADESH,2001,19,12,5,119,0
ANDHRA PRADESH,2001,72,83,37,421,7
ANDHRA PRADESH,2001,0,0,1,0,0
ANDHRA PRADESH,2001,8,12,6,108,0
ANDHRA PRADESH,2001,25,48,2,520,0
ANDHRA PRADESH,2001,1,0,0,0,0
ANDHRA PRADESH,2001,12,12,3,99,0
ANDHRA PRADESH,2001,13,6,0,204,0
ANDHRA PRADESH,2001,8,2,0,121,0
ANDHRA PRADESH,2001,53,25,52,165,0
ANDHRA PRADESH,2001,61,21,15,348,0
ANDHRA PRADESH,2001,871,765,420,5791,7
ARUNACHAL PRADESH,2001,1,2,0,0,0
ARUNACHAL PRADESH,2001,2,4,0,2,0
ARUNACHAL PRADESH,2001,2,5,0,0,0
ARUNACHAL PRADESH,2001,0,2,0,0,0
ARUNACHAL PRADESH,2001,2,6,0,0,0
ARUNACHAL PRADESH,2001,9,5,0,3,0
ARUNACHAL PRADESH,2001,5,7,0,2,0
ARUNACHAL PRADESH,2001,2,5,0,0,0
ARUNACHAL PRADESH,2001,4,10,0,2,0
ARUNACHAL PRADESH,2001,2,5,0,0,0
ARUNACHAL PRADESH,2001,2,1,0,2,0
ARUNACHAL PRADESH,2001,1,0,0,0,0
